Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00790167,0.00672967,133.489,300,Non-AEAD,block
AES-256-CBC,4096,0.0176973,0.0122423,260.941,300,Non-AEAD,block
AES-256-CBC,16384,0.067212,0.035456,304.379,300,Non-AEAD,block
AES-256-CBC,262144,1.0664,0.571288,305.309,300,Non-AEAD,block
AES-256-CBC,1048576,3.87694,2.32418,322.522,300,Non-AEAD,block
AES-256-CBC,8388608,32.1114,19.0574,312.69,300,Non-AEAD,block
AES-256-CTR,1024,0.00563033,0.005579,174.241,300,Non-AEAD,stream
AES-256-CTR,4096,0.0116623,0.011647,335.166,300,Non-AEAD,stream
AES-256-CTR,16384,0.036677,0.0365543,426.73,300,Non-AEAD,stream
AES-256-CTR,262144,0.509083,0.508243,491.484,300,Non-AEAD,stream
AES-256-CTR,1048576,2.15888,2.15179,463.965,300,Non-AEAD,stream
AES-256-CTR,8388608,18.9028,18.9253,422.966,300,Non-AEAD,stream
AES-256-GCM,1024,0.00702,0.00875867,123.783,300,AEAD,block
AES-256-GCM,4096,0.0151963,0.01701,242.577,300,AEAD,block
AES-256-GCM,16384,0.0486583,0.0501813,316.169,300,AEAD,block
AES-256-GCM,262144,0.715623,0.71191,350.255,300,AEAD,block
AES-256-GCM,1048576,3.14293,2.98666,326.286,300,AEAD,block
AES-256-GCM,8388608,27.3507,25.6523,301.87,300,AEAD,block
AES-256-CCM,1024,0.009068,0.0108443,98.0862,300,AEAD,block
AES-256-CCM,4096,0.0251137,0.02705,149.769,300,AEAD,block
AES-256-CCM,16384,0.0910247,0.092528,170.251,300,AEAD,block
AES-256-CCM,262144,1.37516,1.37573,181.759,300,AEAD,block
AES-256-CCM,1048576,5.7905,5.60496,175.509,300,AEAD,block
AES-256-CCM,8388608,49.1029,46.8216,166.798,300,AEAD,block
