Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0022156,0.00158404,514.03,1000,Non-AEAD,block
AES-256-CBC,4096,0.00517825,0.00214426,1066.92,1000,Non-AEAD,block
AES-256-CBC,16384,0.0162406,0.00522864,1455.57,1000,Non-AEAD,block
AES-256-CBC,262144,0.431823,0.0546864,1027.73,1000,Non-AEAD,block
AES-256-CBC,1048576,1.93899,0.240785,917.527,1000,Non-AEAD,block
AES-256-CBC,8388608,13.7298,2.97667,957.71,1000,Non-AEAD,block
AES-256-CTR,1024,0.00158743,0.00156241,620.072,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00206645,0.00205411,1895.98,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00458939,0.00456974,3411.9,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0560862,0.0562723,4450.04,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.234766,0.235775,4250.43,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.4039,2.45336,3294.04,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00180937,0.00210342,499.164,1000,AEAD,block
AES-256-GCM,4096,0.00254054,0.00284641,1450.26,1000,AEAD,block
AES-256-GCM,16384,0.00682498,0.00693414,2271.22,1000,AEAD,block
AES-256-GCM,262144,0.0887448,0.0834505,2903.68,1000,AEAD,block
AES-256-GCM,1048576,0.361024,0.321197,2931.6,1000,AEAD,block
AES-256-GCM,8388608,9.74099,3.64757,1195.05,1000,AEAD,block
AES-256-CCM,1024,0.00214241,0.00251719,419.162,1000,AEAD,block
AES-256-CCM,4096,0.00485462,0.0051529,780.663,1000,AEAD,block
AES-256-CCM,16384,0.0168285,0.0167409,930.909,1000,AEAD,block
AES-256-CCM,262144,0.261547,0.251754,974.087,1000,AEAD,block
AES-256-CCM,1048576,1.09271,1.06121,928.54,1000,AEAD,block
AES-256-CCM,8388608,15.4872,9.22569,647.436,1000,AEAD,block
