Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.004,0.0032863,268.054,1000,Non-AEAD,block
AES-256-CBC,4096,0.0059385,0.0034513,832.02,1000,Non-AEAD,block
AES-256-CBC,16384,0.0292988,0.0077471,843.548,1000,Non-AEAD,block
AES-256-CBC,262144,0.433397,0.104906,928.845,1000,Non-AEAD,block
AES-256-CBC,1048576,1.34614,0.456139,1109.71,1000,Non-AEAD,block
AES-256-CBC,8388608,12.7286,5.35946,884.561,1000,Non-AEAD,block
AES-256-CTR,1024,0.0022184,0.0022424,437.842,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0029908,0.0030177,1300.24,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0065625,0.0065248,2387.81,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0586577,0.0582344,4277.45,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.380926,0.398798,2565.01,1000,Non-AEAD,stream
AES-256-CTR,8388608,5.32672,5.31335,1503.75,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0026086,0.0033913,325.526,1000,AEAD,block
AES-256-GCM,4096,0.0032519,0.0039855,1079.46,1000,AEAD,block
AES-256-GCM,16384,0.0078408,0.0081955,1948.7,1000,AEAD,block
AES-256-GCM,262144,0.0953713,0.088146,2724.54,1000,AEAD,block
AES-256-GCM,1048576,0.783977,0.524284,1528.75,1000,AEAD,block
AES-256-GCM,8388608,8.35087,5.93002,1120.38,1000,AEAD,block
AES-256-CCM,1024,0.0031091,0.0039485,276.741,1000,AEAD,block
AES-256-CCM,4096,0.0060128,0.0067686,611.24,1000,AEAD,block
AES-256-CCM,16384,0.0187432,0.0191722,824.203,1000,AEAD,block
AES-256-CCM,262144,0.260568,0.253994,971.699,1000,AEAD,block
AES-256-CCM,1048576,1.50317,1.21622,735.458,1000,AEAD,block
AES-256-CCM,8388608,13.8826,11.5228,629.788,1000,AEAD,block
