Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,213.809202,0.000000,0
Key Generation,4096,284.076046,0.000000,0
RSA Encrypt,3072,0.045184,0.675402,32
RSA Decrypt,3072,3.702260,0.008243,32
RSA Encrypt,4096,0.048541,0.628700,32
RSA Decrypt,4096,4.900503,0.006227,32
Hybrid Encrypt (1 KB),3072,0.066867,14.604442,1024
Hybrid Decrypt (1 KB),3072,3.820050,0.255641,1024
Hybrid Encrypt (1 MB),3072,2.240842,446.260885,1048576
Hybrid Decrypt (1 MB),3072,10.781177,92.754249,1048576
Hybrid Encrypt (100 MB),3072,220.256881,454.015328,104857600
Hybrid Decrypt (100 MB),3072,803.754450,124.416107,104857600
