Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,291.371880,0.000000,0
Key Generation,4096,599.781840,0.000000,0
RSA Encrypt,3072,0.138876,0.219747,32
RSA Decrypt,3072,12.819609,0.002381,32
RSA Encrypt,4096,0.152009,0.200761,32
RSA Decrypt,4096,16.929110,0.001803,32
Hybrid Encrypt (1 KB),3072,0.248312,3.932804,1024
Hybrid Decrypt (1 KB),3072,13.576748,0.071929,1024
Hybrid Encrypt (1 MB),3072,5.526350,180.951261,1048576
Hybrid Decrypt (1 MB),3072,24.004500,41.658856,1048576
Hybrid Encrypt (100 MB),3072,578.143900,172.967318,104857600
Hybrid Decrypt (100 MB),3072,1168.141300,85.606082,104857600
