Linux 6.12.38+kali-amd64 (kali) 	06/09/2026 	_x86_64_	(4 CPU)

11:41:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:41:10 AM  all   17.56    0.00    9.27    0.00    0.00    2.68    0.00    0.00    0.00   70.49
11:41:11 AM  all   23.82    0.00    1.74    0.00    0.00    0.74    0.00    0.00    0.00   73.70
11:41:12 AM  all   23.51    0.00    2.48    0.00    0.00    0.50    0.00    0.00    0.00   73.51
11:41:13 AM  all   24.12    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   74.62
11:41:14 AM  all   23.82    0.00    1.74    0.00    0.00    0.74    0.00    0.00    0.00   73.70
11:41:15 AM  all   24.19    0.00    1.25    0.00    0.00    0.50    0.00    0.00    0.00   74.06
11:41:16 AM  all   23.75    0.00    1.75    0.00    0.00    0.50    0.00    0.00    0.00   74.00
11:41:17 AM  all   23.75    0.00    2.00    0.00    0.00    0.25    0.00    0.00    0.00   74.00
11:41:18 AM  all   23.44    0.00    2.49    0.00    0.00    0.50    0.00    0.00    0.00   73.57
11:41:19 AM  all   23.44    0.00    2.24    0.00    0.00    0.50    0.00    0.00    0.00   73.82
11:41:20 AM  all   23.62    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   74.37
11:41:21 AM  all   23.27    0.00    2.48    0.00    0.00    0.99    0.00    0.00    0.00   73.27
11:41:22 AM  all   24.06    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   73.93
11:41:23 AM  all   23.88    0.00    1.99    0.00    0.00    0.25    0.00    0.00    0.00   73.88
11:41:24 AM  all   23.50    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00   74.25
11:41:25 AM  all   23.87    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   74.37
11:41:26 AM  all   24.19    0.00    1.50    0.00    0.00    0.25    0.00    0.00    0.00   74.06
11:41:27 AM  all   24.37    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   73.87
11:41:28 AM  all   23.94    0.00    1.75    0.00    0.00    0.25    0.00    0.00    0.00   74.06
11:41:29 AM  all   23.88    0.00    2.24    0.00    0.00    0.00    0.00    0.00    0.00   73.88
11:41:30 AM  all   23.56    0.00    1.75    0.00    0.00    0.50    0.00    0.00    0.00   74.19
11:41:31 AM  all   24.19    0.00    1.25    0.00    0.00    0.50    0.00    0.00    0.00   74.06
11:41:32 AM  all   24.25    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   74.50
11:41:33 AM  all   24.57    0.00    1.24    0.00    0.00    0.74    0.00    0.00    0.00   73.45
11:41:34 AM  all   24.81    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.44
11:41:35 AM  all   24.44    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   74.06
11:41:36 AM  all   24.31    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   74.19
11:41:37 AM  all   24.50    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   74.00
11:41:38 AM  all   24.56    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   74.19
11:41:39 AM  all   24.87    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.37
11:41:40 AM  all   24.25    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   74.25
11:41:41 AM  all   24.88    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   73.88
